Supplier_ID,Supplier_Name,Ingredient_Code,Ingredient_Name,CAS_Number,Purity,Batch_Number,Physical_State,pH,Toxicity_Profile,Solubility,Stability_Info,Recommended_Usage,Regulatory_Status,Shelf_Life,Lead_Time_for_Delivery,Availability,Cost_per_Unit,Safety_Data_Sheet,Transport_Conditions
SUP_6940,Global Chem Ltd,ING_76624,Hydrochloric Acid,7664-93-9,98.58%,BN_7968_08,Gas,12.13,Irritant,Insoluble,Avoid sunlight,5.54%,REACH Compliant,13 months,12 working days,In Stock,₹867.68 / unit,https://supplierportal.com/SDS/2010,Handle with care
SUP_2624,XYZ Suppliers,ING_14797,Sodium Hypochlorite,7647-01-0,96.98%,BN_5657_03,Gas,1.65,Corrosive,Partially soluble,Keep refrigerated,4.37%,Non-Compliant,25 months,12 working days,Limited Stock,₹899.92 / unit,https://supplierportal.com/SDS/9229,Handle with care
SUP_2504,Prime Chemicals,ING_60508,Sulfuric Acid,12125-02-9,96.67%,BN_5334_06,Solid,10.98,Irritant,Soluble in water,Avoid sunlight,3.07%,REACH Compliant,12 months,8 working days,Out of Stock,₹610.12 / unit,https://supplierportal.com/SDS/7003,Handle with care
SUP_3182,XYZ Suppliers,ING_38372,Sodium Hypochlorite,7681-52-9,95.54%,BN_9884_04,Liquid,1.9,Irritant,Soluble in water,Stable under 25°C,2.78%,REACH Compliant,26 months,13 working days,In Stock,₹597.04 / unit,https://supplierportal.com/SDS/8849,Handle with care
SUP_4889,XYZ Suppliers,ING_90599,Sulfuric Acid,12125-02-9,99.09%,BN_5899_04,Solid,10.28,Non-Toxic,Partially soluble,Stable under 25°C,8.77%,REACH Compliant,33 months,12 working days,In Stock,₹582.00 / unit,https://supplierportal.com/SDS/5354,Fragile
SUP_5186,Global Chem Ltd,ING_22552,Citric Acid,12125-02-9,91.27%,BN_9029_08,Solid,13.91,Irritant,Insoluble,Avoid sunlight,1.82%,Non-Compliant,7 months,9 working days,Limited Stock,₹567.90 / unit,https://supplierportal.com/SDS/2030,Hazardous Material
SUP_1059,XYZ Suppliers,ING_42024,Ammonium Chloride,7647-01-0,94.69%,BN_6366_02,Gas,13.72,Irritant,Soluble in water,Avoid sunlight,7.97%,Non-Compliant,32 months,14 working days,Limited Stock,₹892.31 / unit,https://supplierportal.com/SDS/9653,Fragile
SUP_6054,Prime Chemicals,ING_30631,Sodium Hypochlorite,7664-93-9,99.76%,BN_3307_01,Solid,4.8,Non-Toxic,Insoluble,Stable under 25°C,8.93%,Non-Compliant,19 months,3 working days,In Stock,₹736.71 / unit,https://supplierportal.com/SDS/6360,Hazardous Material
SUP_8150,XYZ Suppliers,ING_48727,Hydrochloric Acid,12125-02-9,99.68%,BN_4193_11,Liquid,3.23,Non-Toxic,Soluble in water,Avoid sunlight,3.29%,REACH Compliant,26 months,4 working days,Out of Stock,₹728.70 / unit,https://supplierportal.com/SDS/6207,Hazardous Material
SUP_7653,XYZ Suppliers,ING_73803,Sulfuric Acid,12125-02-9,92.83%,BN_5761_04,Liquid,5.31,Corrosive,Partially soluble,Stable under 25°C,8.73%,REACH Compliant,33 months,10 working days,In Stock,₹850.59 / unit,https://supplierportal.com/SDS/8480,Handle with care
SUP_4691,XYZ Suppliers,ING_83097,Sulfuric Acid,7664-93-9,93.34%,BN_1739_05,Solid,10.16,Non-Toxic,Soluble in water,Stable under 25°C,4.75%,Non-Compliant,15 months,14 working days,Limited Stock,₹725.88 / unit,https://supplierportal.com/SDS/9794,Handle with care
SUP_4972,Global Chem Ltd,ING_56456,Sodium Hypochlorite,12125-02-9,96.64%,BN_6157_08,Gas,11.22,Irritant,Partially soluble,Avoid sunlight,6.93%,Non-Compliant,24 months,4 working days,Out of Stock,₹702.41 / unit,https://supplierportal.com/SDS/8431,Hazardous Material
SUP_5652,Global Chem Ltd,ING_64316,Citric Acid,7647-01-0,94.72%,BN_3555_01,Liquid,7.08,Irritant,Insoluble,Keep refrigerated,3.97%,REACH Compliant,35 months,10 working days,Limited Stock,₹610.90 / unit,https://supplierportal.com/SDS/4121,Hazardous Material
SUP_8032,Prime Chemicals,ING_66291,Sodium Hypochlorite,77-92-9,95.72%,BN_7218_11,Liquid,12.34,Irritant,Partially soluble,Stable under 25°C,2.67%,Non-Compliant,16 months,3 working days,Out of Stock,₹213.87 / unit,https://supplierportal.com/SDS/2007,Fragile
SUP_1114,ABC Chemicals Pvt Ltd,ING_27848,Sodium Hypochlorite,77-92-9,93.06%,BN_9501_05,Solid,13.87,Non-Toxic,Insoluble,Avoid sunlight,8.53%,Non-Compliant,6 months,12 working days,Limited Stock,₹537.68 / unit,https://supplierportal.com/SDS/1256,Handle with care
SUP_9370,ABC Chemicals Pvt Ltd,ING_21618,Sodium Hypochlorite,12125-02-9,95.63%,BN_8221_02,Liquid,4.11,Corrosive,Partially soluble,Avoid sunlight,3.04%,Non-Compliant,34 months,11 working days,Limited Stock,₹616.52 / unit,https://supplierportal.com/SDS/7948,Fragile
SUP_4825,Global Chem Ltd,ING_97634,Citric Acid,77-92-9,90.81%,BN_1105_11,Gas,11.98,Irritant,Partially soluble,Stable under 25°C,4.49%,REACH Compliant,22 months,5 working days,Out of Stock,₹554.73 / unit,https://supplierportal.com/SDS/9618,Handle with care
SUP_8584,XYZ Suppliers,ING_81216,Sulfuric Acid,7681-52-9,99.87%,BN_7647_04,Gas,5.86,Non-Toxic,Insoluble,Avoid sunlight,3.95%,Non-Compliant,35 months,10 working days,Out of Stock,₹154.57 / unit,https://supplierportal.com/SDS/2146,Hazardous Material
SUP_9783,ABC Chemicals Pvt Ltd,ING_22132,Citric Acid,77-92-9,96.84%,BN_4249_01,Gas,1.39,Corrosive,Soluble in water,Avoid sunlight,3.04%,REACH Compliant,35 months,8 working days,Out of Stock,₹770.33 / unit,https://supplierportal.com/SDS/3016,Hazardous Material
SUP_9587,ABC Chemicals Pvt Ltd,ING_90954,Ammonium Chloride,77-92-9,96.52%,BN_6876_03,Solid,8.5,Non-Toxic,Soluble in water,Avoid sunlight,4.34%,REACH Compliant,6 months,3 working days,In Stock,₹751.17 / unit,https://supplierportal.com/SDS/6637,Hazardous Material
SUP_8298,ABC Chemicals Pvt Ltd,ING_50417,Ammonium Chloride,12125-02-9,95.19%,BN_6549_12,Liquid,9.32,Irritant,Insoluble,Stable under 25°C,5.12%,Non-Compliant,18 months,3 working days,In Stock,₹763.20 / unit,https://supplierportal.com/SDS/2012,Handle with care
SUP_3217,Global Chem Ltd,ING_49708,Ammonium Chloride,7647-01-0,94.74%,BN_2200_01,Solid,9.31,Non-Toxic,Partially soluble,Avoid sunlight,4.60%,REACH Compliant,6 months,10 working days,In Stock,₹918.71 / unit,https://supplierportal.com/SDS/6776,Fragile
SUP_5821,ABC Chemicals Pvt Ltd,ING_77578,Sulfuric Acid,7681-52-9,99.04%,BN_8473_09,Gas,8.81,Non-Toxic,Partially soluble,Stable under 25°C,5.28%,Non-Compliant,14 months,10 working days,In Stock,₹206.84 / unit,https://supplierportal.com/SDS/8371,Handle with care
SUP_7198,Global Chem Ltd,ING_32461,Citric Acid,7681-52-9,99.62%,BN_9364_07,Solid,9.86,Non-Toxic,Insoluble,Keep refrigerated,2.83%,Non-Compliant,25 months,7 working days,Limited Stock,₹910.60 / unit,https://supplierportal.com/SDS/5796,Handle with care
SUP_1134,ABC Chemicals Pvt Ltd,ING_94205,Ammonium Chloride,7681-52-9,91.74%,BN_8874_09,Solid,2.43,Non-Toxic,Soluble in water,Avoid sunlight,4.44%,REACH Compliant,35 months,9 working days,Limited Stock,₹606.31 / unit,https://supplierportal.com/SDS/1459,Hazardous Material
SUP_5024,ABC Chemicals Pvt Ltd,ING_38725,Sodium Hypochlorite,12125-02-9,91.87%,BN_1899_07,Liquid,11.85,Irritant,Soluble in water,Keep refrigerated,8.43%,Non-Compliant,12 months,4 working days,Limited Stock,₹659.16 / unit,https://supplierportal.com/SDS/2380,Hazardous Material
SUP_2176,XYZ Suppliers,ING_27817,Citric Acid,7664-93-9,96.14%,BN_2460_11,Liquid,2.12,Corrosive,Partially soluble,Stable under 25°C,9.78%,Non-Compliant,19 months,11 working days,Out of Stock,₹358.87 / unit,https://supplierportal.com/SDS/4770,Fragile
SUP_2975,ABC Chemicals Pvt Ltd,ING_69570,Hydrochloric Acid,77-92-9,99.81%,BN_3128_06,Gas,1.17,Non-Toxic,Soluble in water,Keep refrigerated,2.82%,Non-Compliant,22 months,9 working days,Limited Stock,₹124.17 / unit,https://supplierportal.com/SDS/4948,Fragile
SUP_8850,XYZ Suppliers,ING_37476,Sodium Hypochlorite,7681-52-9,92.49%,BN_5986_07,Liquid,3.59,Non-Toxic,Insoluble,Keep refrigerated,8.18%,Non-Compliant,11 months,8 working days,Limited Stock,₹500.51 / unit,https://supplierportal.com/SDS/9419,Fragile
SUP_1539,Prime Chemicals,ING_65097,Ammonium Chloride,7681-52-9,99.28%,BN_4309_04,Liquid,12.16,Irritant,Partially soluble,Keep refrigerated,3.47%,Non-Compliant,24 months,10 working days,Limited Stock,₹243.83 / unit,https://supplierportal.com/SDS/9415,Handle with care
SUP_1713,Prime Chemicals,ING_78619,Ammonium Chloride,7664-93-9,99.11%,BN_7273_07,Solid,13.77,Non-Toxic,Partially soluble,Stable under 25°C,5.60%,REACH Compliant,32 months,5 working days,Limited Stock,₹379.53 / unit,https://supplierportal.com/SDS/3211,Handle with care
SUP_7538,XYZ Suppliers,ING_59767,Ammonium Chloride,77-92-9,98.50%,BN_3100_08,Liquid,7.07,Non-Toxic,Insoluble,Keep refrigerated,1.37%,Non-Compliant,17 months,5 working days,Limited Stock,₹286.57 / unit,https://supplierportal.com/SDS/5473,Hazardous Material
SUP_8416,Global Chem Ltd,ING_53624,Ammonium Chloride,7681-52-9,98.00%,BN_8273_11,Gas,1.7,Irritant,Insoluble,Keep refrigerated,5.22%,Non-Compliant,30 months,9 working days,Limited Stock,₹573.15 / unit,https://supplierportal.com/SDS/5902,Hazardous Material
SUP_2247,Global Chem Ltd,ING_83757,Hydrochloric Acid,7681-52-9,92.66%,BN_9344_06,Solid,11.73,Non-Toxic,Soluble in water,Keep refrigerated,5.23%,REACH Compliant,16 months,6 working days,In Stock,₹369.58 / unit,https://supplierportal.com/SDS/8928,Hazardous Material
SUP_8622,Global Chem Ltd,ING_30233,Sulfuric Acid,7664-93-9,91.73%,BN_5388_03,Liquid,10.63,Non-Toxic,Partially soluble,Keep refrigerated,5.65%,Non-Compliant,29 months,9 working days,Out of Stock,₹544.96 / unit,https://supplierportal.com/SDS/6663,Fragile
SUP_1741,ABC Chemicals Pvt Ltd,ING_41457,Ammonium Chloride,12125-02-9,95.35%,BN_4180_05,Liquid,2.42,Irritant,Soluble in water,Stable under 25°C,5.70%,REACH Compliant,31 months,10 working days,Out of Stock,₹314.18 / unit,https://supplierportal.com/SDS/5569,Fragile
SUP_8387,XYZ Suppliers,ING_52150,Citric Acid,7681-52-9,95.59%,BN_6135_08,Gas,10.96,Irritant,Soluble in water,Avoid sunlight,6.75%,Non-Compliant,18 months,13 working days,Limited Stock,₹831.12 / unit,https://supplierportal.com/SDS/5101,Handle with care
